GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb101840,Multiple stress-responsive zinc-finger protein ISAP1,MULTIPLE STRESS-RESPONSIVE ZINC-FINGER PROTEIN ISAP1 (PTHR10634:SF159),,DNA binding(GO:0003677);ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),protein ubiquitination(GO:0016567),
Zm00001eb107970,C2 domain containing protein,OS07G0585000 PROTEIN (PTHR31208:SF4),,,,
Zm00001eb153010,"mannan endo-1,4-beta-mannosidase","MANNAN ENDO-1,4-BETA-MANNOSIDASE 2 (PTHR31451:SF45)",,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);mannan endo-1,4-beta-mannosidase activity(GO:0016985)",polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975),
Zm00001eb021470,Peptidoglycan-binding LysM domain-containing protein,EMBRYO SAC 1 (PTHR33648:SF39),,,,
Zm00001eb258240,BHLH transcription factor,TRANSCRIPTION FACTOR ALC (PTHR45855:SF6),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);protein dimerization activity(GO:0046983),,nucleus(GO:0005634)
Zm00001eb380850,Nitrate-induced NOI protein,OS06G0286375 PROTEIN (PTHR33159:SF100),,,,
Zm00001eb209490,NAD(P)-binding Rossmann-fold superfamily protein,DEHYDROGENASE_REDUCTASE SDR FAMILY MEMBER FEY (PTHR24320:SF200),dehydrogenase(PC00092),oxidoreductase activity(GO:0016491),,
Zm00001eb101640,Phosphatidylinositol_phosphatidylcholine transfer protein SFH13,OS09G0481100 PROTEIN (PTHR45657:SF13),,phosphatidylinositol transfer activity(GO:0008526),post-Golgi vesicle-mediated transport(GO:0006892);protein transport(GO:0015031);phospholipid transport(GO:0015914);intermembrane lipid transfer(GO:0120009),Golgi membrane(GO:0000139);plasma membrane(GO:0005886)
Zm00001eb363620,Tropinone reductase 2,OS01G0930900 PROTEIN (PTHR42898:SF5),reductase(PC00198),oxidoreductase activity(GO:0016491),,
Zm00001eb194330,Membrane-anchored ubiquitin-fold protein,UBIQUITIN-LIKE PROTEIN 3 (PTHR13169:SF0),ubiquitin-protein ligase(PC00234),,,plasma membrane(GO:0005886)
Zm00001eb215470,Folate transporter 1 chloroplastic,MITOCHONDRIAL FOLATE TRANSPORTER_CARRIER (PTHR45683:SF3),transporter(PC00227),,,
Zm00001eb375240,Alkyl transferase,DEHYDRODOLICHYL DIPHOSPHATE SYNTHASE COMPLEX SUBUNIT DHDDS (PTHR10291:SF43),acyltransferase(PC00042),"transferase activity(GO:0016740);transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765);ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific] activity(GO:0045547)",polyprenol biosynthetic process(GO:0016094),endoplasmic reticulum(GO:0005783)
Zm00001eb286960,Thaumatin-like protein 1,THAUMATIN-LIKE PROTEIN 1 (PTHR31048:SF102),,,defense response(GO:0006952),
Zm00001eb298570,Purple acid phosphatase,PURPLE ACID PHOSPHATASE (PTHR45778:SF7),phosphatase(PC00181),acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),,extracellular region(GO:0005576)
Zm00001eb224770,Nramp aluminum transporter1,METAL TRANSPORTER NRAMP1 (PTHR11706:SF54),secondary carrier transporter(PC00258),manganese ion transmembrane transporter activity(GO:0005384);metal ion transmembrane transporter activity(GO:0046873),manganese ion transport(GO:0006828);intracellular iron ion homeostasis(GO:0006879);metal ion transport(GO:0030001);intracellular manganese ion homeostasis(GO:0030026);iron ion transmembrane transport(GO:0034755);manganese ion transmembrane transport(GO:0071421),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb240650,Tyrosine aminotransferase,NICOTIANAMINE AMINOTRANSFERASE 1 (PTHR45744:SF5),transaminase(PC00216),L-tyrosine-2-oxoglutarate transaminase activity(GO:0004838);transaminase activity(GO:0008483);transferase activity(GO:0016740);pyridoxal phosphate binding(GO:0030170);nicotianamine aminotransferase activity(GO:0033855),amino acid metabolic process(GO:0006520);L-tyrosine catabolic process(GO:0006572),
Zm00001eb110070,Transmembrane emp24 domain-containing protein 10,OS07G0632700 PROTEIN (PTHR22811:SF129),vesicle coat protein(PC00235),,intracellular protein transport(GO:0006886);endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);Golgi organization(GO:0007030),endoplasmic reticulum(GO:0005783);endoplasmic reticulum-Golgi intermediate compartment(GO:0005793);Golgi apparatus(GO:0005794);membrane(GO:0016020);COPII-coated ER to Golgi transport vesicle(GO:0030134)
Zm00001eb429850,Putative leucine-rich repeat receptor-like protein kinase family protein,PROTEIN KINASE SUPERFAMILY PROTEIN (PTHR48008:SF13),transmembrane signal receptor(PC00197),protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301),,
Zm00001eb104630,Eukaryotic aspartyl protease family protein,OS02G0314600 PROTEIN (PTHR13683:SF811),aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),
Zm00001eb349390,TFIIS N-terminal domain-containing protein,TFIIS N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR46554:SF2),general transcription factor(PC00259),,,
Zm00001eb062110,BRCA1 C Terminus domain containing protein expressed,TP53-BINDING PROTEIN 1 (PTHR15321:SF3),DNA metabolism protein(PC00009),histone binding(GO:0042393),DNA damage checkpoint signaling(GO:0000077);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634)
Zm00001eb325080,Protein kinase domain-containing protein,SERINE_THREONINE-PROTEIN KINASE WNK1 (PTHR13902:SF159),non-receptor serine/threonine protein kinase(PC00167),,,
Zm00001eb075740,Thioredoxin M1 chloroplastic,"THIOREDOXIN M2, CHLOROPLASTIC (PTHR45663:SF37)",oxidoreductase(PC00176),"protein-disulfide reductase activity(GO:0015035);catalytic activity, acting on a protein(GO:0140096)",,cytoplasm(GO:0005737)
Zm00001eb118040,NB-ARC domain-containing protein,NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR33377:SF92),,ADP binding(GO:0043531),,
Zm00001eb257520,RING-type domain-containing protein,OS02G0790600 PROTEIN (PTHR45768:SF23),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),,membrane(GO:0016020)
Zm00001eb349070,MADS-box transcription factor 4,MADS-BOX TRANSCRIPTION FACTOR 4 (PTHR48019:SF11),MADS box transcription factor(PC00250),"RNA polymerase II transcription regulatory region sequence-specific DNA binding(GO:0000977);RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357);positive regulation of transcription by RNA polymerase II(GO:0045944),nucleus(GO:0005634)
Zm00001eb146730,U6 snRNA-associated Sm-like protein LSm3,"LSM3 HOMOLOG, U6 SMALL NUCLEAR RNA AND MRNA DEGRADATION ASSOCIATED (PTHR13110:SF0)",RNA splicing factor(PC00148),RNA binding(GO:0003723),"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380);P-body assembly(GO:0033962)",P-body(GO:0000932);nucleus(GO:0005634);spliceosomal complex(GO:0005681);U6 snRNP(GO:0005688);U4/U6 x U5 tri-snRNP complex(GO:0046540);precatalytic spliceosome(GO:0071011);catalytic step 2 spliceosome(GO:0071013);Lsm2-8 complex(GO:0120115);Lsm1-7-Pat1 complex(GO:1990726);ribonucleoprotein complex(GO:1990904)
Zm00001eb177630,Syntaxin-51,SYNTAXIN-51-RELATED (PTHR19957:SF285),SNARE protein(PC00034),SNARE binding(GO:0000149);SNAP receptor activity(GO:0005484),intracellular protein transport(GO:0006886);vesicle fusion(GO:0006906);protein transport(GO:0015031);vesicle docking(GO:0048278),Golgi apparatus(GO:0005794);endosome membrane(GO:0010008);endomembrane system(GO:0012505);SNARE complex(GO:0031201)
Zm00001eb421360,Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolase superfamily protein,DOUBLE CLP-N MOTIF-CONTAINING P-LOOP NUCLEOSIDE TRIPHOSPHATE HYDROLASE SUPERFAMILY PROTEIN (PTHR43572:SF74),chaperone(PC00072),nucleotide binding(GO:0000166);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887);protein folding chaperone(GO:0044183),protein folding(GO:0006457);protein import into chloroplast stroma(GO:0045037),chloroplast(GO:0009507);chloroplast stroma(GO:0009570);chloroplast envelope(GO:0009941);protein-containing complex(GO:0032991)
Zm00001eb061510,Pheophorbide a oxygenase,PHEOPHORBIDE A OXYGENASE (PTHR21266:SF58),oxygenase(PC00177),"chlorophyllide a oxygenase activity(GO:0010277);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);2 iron, 2 sulfur cluster binding(GO:0051537)",,cytoplasm(GO:0005737);chloroplast(GO:0009507)
Zm00001eb329030,10 kDa chaperonin,,,ATP binding(GO:0005524);protein folding chaperone(GO:0044183),protein folding(GO:0006457),mitochondrion(GO:0005739)
Zm00001eb432010,Coatomer subunit epsilon,COATOMER SUBUNIT EPSILON-2 (PTHR10805:SF2),vesicle coat protein(PC00235),structural molecule activity(GO:0005198),"endoplasmic reticulum to Golgi vesicle-mediated transport(GO:0006888);retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum(GO:0006890);intra-Golgi vesicle-mediated transport(GO:0006891);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192)",Golgi membrane(GO:0000139);COPI vesicle coat(GO:0030126);COPI-coated vesicle membrane(GO:0030663);cytoplasmic vesicle(GO:0031410)
Zm00001eb022230,Hexose transporter,OS03G0128932 PROTEIN (PTHR48021:SF97),,transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),vacuolar membrane(GO:0005774);plant-type vacuole membrane(GO:0009705);membrane(GO:0016020)
Zm00001eb199540,COP9 signalosome complex subunit 6,COP9 SIGNALOSOME COMPLEX SUBUNIT 6 (PTHR10540:SF8),translation initiation factor(PC00224),peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237),protein deneddylation(GO:0000338),nucleus(GO:0005634);cytoplasm(GO:0005737);COP9 signalosome(GO:0008180)
Zm00001eb345980,DUF4228 domain protein,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE (PTHR33052:SF26)",,,,
Zm00001eb409970,UEV domain-containing protein,UBIQUITIN-CONJUGATING ENZYME_RWD-LIKE PROTEIN (PTHR23306:SF21),ubiquitin-protein ligase(PC00234),ubiquitin binding(GO:0043130),endosome to lysosome transport(GO:0008333);protein transport(GO:0015031),ESCRT I complex(GO:0000813);endosome(GO:0005768)
Zm00001eb144760,60S ribosomal protein L5-1 homolog a,60S RIBOSOMAL PROTEIN L5-1 HOMOLOG B (PTHR23410:SF34),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735);5S rRNA binding(GO:0008097),ribosomal large subunit assembly(GO:0000027);translation(GO:0006412);adaxial/abaxial pattern specification(GO:0009955);leaf morphogenesis(GO:0009965);cell division(GO:0051301),cytoplasm(GO:0005737);ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb224250,Chloride conductance regulatory protein ICln,METHYLOSOME SUBUNIT PICLN (PTHR21399:SF0),transporter(PC00227),,"spliceosomal snRNP assembly(GO:0000387);chloride transport(GO:0006821);cell volume homeostasis(GO:0006884);mRNA cis splicing, via spliceosome(GO:0045292)",nucleus(GO:0005634);spliceosomal complex(GO:0005681);cytoplasm(GO:0005737);cytosol(GO:0005829);plasma membrane(GO:0005886);methylosome(GO:0034709);pICln-Sm protein complex(GO:0034715)
Zm00001eb146800,RING-type E3 ubiquitin transferase,RING-H2 FINGER PROTEIN ATL78 (PTHR46905:SF7),,ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872),protein ubiquitination(GO:0016567),membrane(GO:0016020)
Zm00001eb004290,HTH La-type RNA-binding domain-containing protein,LA-RELATED PROTEIN 1 (PTHR22792:SF132),RNA metabolism protein(PC00031),RNA binding(GO:0003723),,cytoplasm(GO:0005737)
Zm00001eb059860,Glycolipid transfer protein domain-containing protein,GLYCOLIPID TRANSFER PROTEIN DOMAIN-CONTAINING PROTEIN (PTHR10219:SF43),transfer/carrier protein(PC00219),lipid transfer activity(GO:0120013);phospholipid transfer activity(GO:0120014);sphingolipid transfer activity(GO:0120016);ceramide 1-phosphate binding(GO:1902387);ceramide 1-phosphate transfer activity(GO:1902388),phospholipid transport(GO:0015914);ceramide transport(GO:0035627);intermembrane lipid transfer(GO:0120009);ceramide 1-phosphate transport(GO:1902389),cytoplasm(GO:0005737);cytosol(GO:0005829)
Zm00001eb071650,Xyloglucan endotransglucosylase_hydrolase,XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE (PTHR31062:SF281),hydrolase(PC00121),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);transferase activity(GO:0016740);xyloglucan:xyloglucosyl transferase activity(GO:0016762);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975);plant-type secondary cell wall biogenesis(GO:0009834);xyloglucan metabolic process(GO:0010411);glucan metabolic process(GO:0044042);cell wall organization(GO:0071555),plant-type cell wall(GO:0009505);apoplast(GO:0048046)
Zm00001eb362730,Eukaryotic aspartyl protease family protein,OS01G0954900 PROTEIN (PTHR47965:SF45),protease(PC00190),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),
Zm00001eb060520,Glutamate dehydrogenase,GLUTAMATE DEHYDROGENASE 3-RELATED (PTHR11606:SF29),dehydrogenase(PC00092),"nucleotide binding(GO:0000166);glutamate dehydrogenase (NAD+) activity(GO:0004352);glutamate dehydrogenase [NAD(P)+] activity(GO:0004353);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor(GO:0016639)",amino acid metabolic process(GO:0006520);L-glutamate catabolic process(GO:0006538);cellular response to nitrogen starvation(GO:0006995),mitochondrion(GO:0005739)
Zm00001eb012950,Protein MODIFIER OF SNC1 11,PROTEIN MODIFIER OF SNC1 11 (PTHR47701:SF2),,,poly(A)+ mRNA export from nucleus(GO:0016973),nucleus(GO:0005634)
Zm00001eb164740,MYB transcription factor,MYB-RELATED PROTEIN MYBAS1 (PTHR45675:SF2),homeodomain transcription factor(PC00119),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb243750,GPN-loop GTPase 2,GPN-LOOP GTPASE 2 (PTHR21231:SF3),small GTPase(PC00208),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525);hydrolase activity(GO:0016787),chloroplast organization(GO:0009658);embryo development ending in seed dormancy(GO:0009793);developmental process(GO:0032502);cell division(GO:0051301);shoot apical meristem development(GO:1902182),microtubule(GO:0005874)
Zm00001eb317210,O-fucosyltransferase family protein,PROTEIN MANNAN SYNTHESIS-RELATED 1 (PTHR31288:SF5),,transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);mannan synthase activity(GO:0051753),fucose metabolic process(GO:0006004);cell wall pectin biosynthetic process(GO:0052325),Golgi apparatus(GO:0005794)
Zm00001eb143960,HD2 type histone deacetylase HDA106,,,zinc ion binding(GO:0008270);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),chromatin organization(GO:0006325),nucleolus(GO:0005730)
Zm00001eb204300,RHOMBOID-like protein 9 chloroplastic,"RHOMBOID-LIKE PROTEIN 9, CHLOROPLASTIC (PTHR43731:SF30)",serine protease(PC00203),serine-type endopeptidase activity(GO:0004252),,membrane(GO:0016020)
Zm00001eb373100,Uncharacterized protein,OS06G0215100 PROTEIN (PTHR33095:SF116),,,,
Zm00001eb364100,Beclin-1-like protein,BECLIN-1 (PTHR12768:SF4),protease inhibitor(PC00191),,,
Zm00001eb371910,Xyloglucan endotransglucosylase_hydrolase,XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE (PTHR31062:SF272),hydrolase(PC00121),,,
Zm00001eb222210,50S ribosomal protein L11,LARGE RIBOSOMAL SUBUNIT PROTEIN UL11M (PTHR11661:SF1),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735);large ribosomal subunit rRNA binding(GO:0070180),translation(GO:0006412),ribosome(GO:0005840);large ribosomal subunit(GO:0015934);ribonucleoprotein complex(GO:1990904)
Zm00001eb167750,"GDP-mannose 3,5-epimerase 2 isoform 1","GDP-MANNOSE 3,5-EPIMERASE (PTHR43574:SF13)",epimerase/racemase(PC00096),"isomerase activity(GO:0016853);racemase and epimerase activity(GO:0016854);GDP-mannose 3,5-epimerase activity(GO:0047918);NAD binding(GO:0051287)",,
Zm00001eb393470,Late embryogenesis abundant protein-related _ LEA protein-related,OS01G0968300 PROTEIN (PTHR31656:SF16),,,,
Zm00001eb397150,Organic anion transporter,OS03G0286300 PROTEIN (PTHR11132:SF500),secondary carrier transporter(PC00258),antiporter activity(GO:0015297),transmembrane transport(GO:0055085),Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb303240,protein-serine_threonine phosphatase,PROTEIN PHOSPHATASE 2C-RELATED (PTHR13832:SF643),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);protein binding(GO:0005515);kinase activity(GO:0016301);hydrolase activity(GO:0016787);cation binding(GO:0043169);metal ion binding(GO:0046872),signal transduction(GO:0007165),
Zm00001eb343610,3-deoxy-manno-octulosonate cytidylyltransferase,"3-DEOXY-MANNO-OCTULOSONATE CYTIDYLYLTRANSFERASE, MITOCHONDRIAL (PTHR42866:SF2)",nucleotidyltransferase(PC00174),3-deoxy-manno-octulosonate cytidylyltransferase activity(GO:0008690);transferase activity(GO:0016740);nucleotidyltransferase activity(GO:0016779),CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process(GO:0033468);small molecule metabolic process(GO:0044281);cell wall organization(GO:0071555);carbohydrate derivative biosynthetic process(GO:1901137),cytoplasm(GO:0005737);mitochondrion(GO:0005739);membrane(GO:0016020)
Zm00001eb038960,Expansin,EXPANSIN-A32 (PTHR31867:SF113),,,plant-type cell wall organization(GO:0009664);cell wall organization(GO:0071555),extracellular region(GO:0005576);membrane(GO:0016020)
Zm00001eb334830,DUF4228 domain protein,DUF4228 DOMAIN PROTEIN (PTHR33052:SF19),,,,
Zm00001eb333570,Syntaxin 23,LD27581P (PTHR19957:SF38),SNARE protein(PC00034),SNARE binding(GO:0000149);SNAP receptor activity(GO:0005484),intracellular protein transport(GO:0006886);vesicle fusion(GO:0006906);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192);vesicle docking(GO:0048278),endomembrane system(GO:0012505);membrane(GO:0016020);SNARE complex(GO:0031201)
Zm00001eb296230,3-ketoacyl-CoA synthase,3-KETOACYL-COA SYNTHASE 9 (PTHR31561:SF23),,"fatty acid elongase activity(GO:0009922);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",fatty acid biosynthetic process(GO:0006633),membrane(GO:0016020)
Zm00001eb428430,Uncharacterized protein,SCARECROW-LIKE PROTEIN 8 (PTHR31636:SF221),,DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb068600,EamA domain-containing protein,OS04G0645600 PROTEIN (PTHR23051:SF12),secondary carrier transporter(PC00258),,,
Zm00001eb258440,Ypt_Rab-GAP domain of gyp1p superfamily protein,OS02G0810500 PROTEIN (PTHR22957:SF697),GTPase-activating protein(PC00257),GTPase activator activity(GO:0005096),,
Zm00001eb075060,RNA recognition water-stress protein1,OS04G0543200 PROTEIN (PTHR21245:SF9),RNA metabolism protein(PC00031),nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729),,nucleus(GO:0005634)
Zm00001eb185920,MYB transcription factor,TRANSCRIPTION FACTOR LAF1 (PTHR47997:SF11),homeodomain transcription factor(PC00119),transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677),regulation of DNA-templated transcription(GO:0006355);positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb209570,Catalase,CATALASE ISOZYME A (PTHR11465:SF45),peroxidase(PC00180),catalase activity(GO:0004096);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872),response to reactive oxygen species(GO:0000302);response to oxidative stress(GO:0006979);circadian rhythm(GO:0007623);response to heat(GO:0009408);response to xenobiotic stimulus(GO:0009410);response to water deprivation(GO:0009414);response to light stimulus(GO:0009416);response to bacterium(GO:0009617);response to auxin(GO:0009733);response to abscisic acid(GO:0009737);response to hydrogen peroxide(GO:0042542);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869);response to salt(GO:1902074),cytoplasm(GO:0005737);peroxisome(GO:0005777);plasma membrane(GO:0005886)
Zm00001eb386630,Tr-type G domain-containing protein,116 KDA U5 SMALL NUCLEAR RIBONUCLEOPROTEIN COMPONENT (PTHR42908:SF6),translation elongation factor(PC00222),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525);U5 snRNA binding(GO:0030623),"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)",nucleus(GO:0005634);cytosol(GO:0005829);U4/U6 x U5 tri-snRNP complex(GO:0046540);U2-type catalytic step 2 spliceosome(GO:0071007)
Zm00001eb337980,Thioredoxin superfamily protein,,,,,
Zm00001eb062530,Ras-related protein ARA-3,OS03G0819900 PROTEIN (PTHR47980:SF73),,nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),exocytosis(GO:0006887),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb297320,DNA damage-binding protein 1,DNA DAMAGE-BINDING PROTEIN 1 (PTHR10644:SF3),RNA processing factor(PC00147),nucleic acid binding(GO:0003676),,nucleus(GO:0005634)
Zm00001eb284290,Transcription factor bHLH133,OS05G0228400 PROTEIN (PTHR16223:SF375),basic helix-loop-helix transcription factor(PC00055),"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of DNA-templated transcription(GO:0006355);regulation of transcription by RNA polymerase II(GO:0006357),nucleus(GO:0005634)
Zm00001eb331540,AMP deaminase,AMP DEAMINASE-RELATED (PTHR11359:SF10),deaminase(PC00088),"AMP deaminase activity(GO:0003876);phosphatidylinositol-4,5-bisphosphate phospholipase C activity(GO:0004435);hydrolase activity(GO:0016787);deaminase activity(GO:0019239);metal ion binding(GO:0046872)",IMP biosynthetic process(GO:0006188);lipid metabolic process(GO:0006629);signal transduction(GO:0007165);nucleotide metabolic process(GO:0009117);purine ribonucleoside monophosphate biosynthetic process(GO:0009168);IMP salvage(GO:0032264);intracellular signal transduction(GO:0035556);AMP metabolic process(GO:0046033),cytosol(GO:0005829)
Zm00001eb400720,Strigolactone esterase D14,STRIGOLACTONE ESTERASE D14 (PTHR43039:SF4),serine protease(PC00203),hydrolase activity(GO:0016787),secondary shoot formation(GO:0010223);strigolactone biosynthetic process(GO:1901601),
Zm00001eb426060,Calmodulin-binding receptor-like cytoplasmic kinase 3,CALMODULIN-BINDING RECEPTOR-LIKE CYTOPLASMIC KINASE 3 (PTHR27003:SF43),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,plasma membrane(GO:0005886)
Zm00001eb377810,SAUR-like auxin-responsive protein family,OS06G0137400 PROTEIN (PTHR31374:SF405),,,response to auxin(GO:0009733),
Zm00001eb122470,ABC transporter domain-containing protein,ABC TRANSPORTER G FAMILY MEMBER 31 (PTHR19241:SF675),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb010640,Cytochrome P450 family 76 subfamily C polypeptide 7,OS03G0248200 PROTEIN (PTHR47950:SF46),oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)",defense response(GO:0006952);diterpene phytoalexin biosynthetic process(GO:0051502),
Zm00001eb425420,Serine_threonine-protein kinase OXI1,"AGC (CAMP-DEPENDENT, CGMP-DEPENDENT AND PROTEIN KINASE C) KINASE FAMILY PROTEIN-RELATED (PTHR45637:SF8)",,"nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);phosphotransferase activity, alcohol group as acceptor(GO:0016773);catalytic activity, acting on a protein(GO:0140096)",,nucleus(GO:0005634);cytoplasm(GO:0005737);plasma membrane(GO:0005886)
Zm00001eb204000,AAA-type ATPase family protein _ ankyrin repeat family protein,AAA-TYPE ATPASE FAMILY PROTEIN _ ANKYRIN REPEAT FAMILY PROTEIN (PTHR43392:SF2),DNA helicase(PC00011),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887),,
Zm00001eb275040,DNA-3-methyladenine glycosylase I,OS06G0649800 PROTEIN (PTHR31116:SF5),,catalytic activity(GO:0003824);DNA-3-methyladenine glycosylase activity(GO:0008725);metal ion binding(GO:0046872),DNA repair(GO:0006281);base-excision repair(GO:0006284),
Zm00001eb202450,Putative serine esterase family protein,OS11G0167500 PROTEIN (PTHR12482:SF46),,,lipid metabolic process(GO:0006629),
Zm00001eb352260,F-box protein,OS05G0490300 PROTEIN (PTHR31215:SF17),,,,
Zm00001eb190990,Galactose oxidase_kelch repeat superfamily protein,OS02G0822800 PROTEIN (PTHR46093:SF5),,,,cytoplasm(GO:0005737)
Zm00001eb393130,Vacuolar protein sorting-associated protein 52 A,VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 52 HOMOLOG (PTHR14190:SF7),membrane traffic protein(PC00150),syntaxin binding(GO:0019905),"Golgi to vacuole transport(GO:0006896);protein transport(GO:0015031);endocytic recycling(GO:0032456);retrograde transport, endosome to Golgi(GO:0042147)",GARP complex(GO:0000938);Golgi apparatus(GO:0005794);cytosol(GO:0005829)
